"make cars emit less co2", " Wear warmer clothes indoors instead of turning up the heat", 0.42857142857142855
" Buy products that have less packaging", "Let grass grow longer before cutting it, which serves a dual purpose, both using less energy to cut, and grass that is longer is slightly more of a carbon sink.", 0.5
" Don't buy bottled water", "Walking or taking public transportation when possible instead of driving is helpful to the environment. ", 0.75
"make factories more environmentally friendly", " Choose to work for a company that uses sustainable and green practices", 1.25
"make lab grown meat sustainable", "One can preserve the environment by using less raw materials. One can be careful to maintain their belongings so they do not have to replace items. ", 1.75
"Monitor monthly energy usage", "We can stop using disposable plastic straws.", 0.2
"Switching gasoline to run on electronic.", "We could all take less showers and waste less of our water ", 0.75
" Only buy EnergyStar certified appliances", "People can purchase vehicles with better MPG or hydro-power.", 1.2857142857142858
"change every bulb in your home to LED", " Buy produce locally or at a local farmer's market", 0.8
"People can start a petition on change.org, advocating for eco-friendly practices.", "Change water usage, shorter showers and use a dishwasher instead of washing by hand.", 1.25
"Do not vote for Republicans", " People should carpool or use public transport as much as possible to help reduce carbon footprint. ", 1.2
"Eating more efficient meats including chicken and fish, and less beef, pork and lamb.", "To help preserve the environment, people can help keep their communities clean. Not littering and picking up litter when possible can be beneficial. ", 0.5714285714285714
" Install a rain water collection system", "take the plugs out of all unused electronics", 1.5
"Use the microwave when possible instead of the oven.", "Become a vegetarian or reduce overall meat consumption", 1.2
"People can choose to take alternative forms of transportation like riding a bike or skateboard to work.", "Adopt children instead of having your own. Less people brought onto this planet mean less stress for the planet.", 1.6
"People can donate more to the organizations that help with the environment.", "People can set up an incentive program to get their fellow neighbors to buy recycled products.", 2.4
"Clean their driveways with brooms and not water from hoses.", "if possible, make showers/bath and washing machines drain to your yard", 1.1428571428571428
"no use of nuclear or coal energy", "Solar power use should be pushed more on the American public. The solar power would greatly helped the enviroment over fossil fuels. They should make solar power homes and cars cheaper.", 2.6
"make lab grown meat sustainable", "Each city should have bus passes given to students in high school and college to then use to save the environment from conjestion and other polution from cars. Car pools and public transportation is the over all goal. ", 0.25
" use grocery bags when going grocery shopping", "They can recycle their waste as much as they can.", 1.2
"Learn to reuse our resources instead of throwing them away ", " People should encourage companies to manufacture products in an environmentally conscious way by only buying goods from companies with a good record in terms of conservation of the environment. ", 2.3333333333333335
" Only buy EnergyStar certified appliances", "People can start composting their food waste.", 0.14285714285714285
" Send letters to politicians asking them to do more to protect the environment", "If we create artificial materials that could replace metals like aluminium and steal, we could reduce the carbon release and make air quality better through out the world. ", 1.5
"Install solar panels on their roof.", "Get involved with some of the existing organizations that have cleanup activities and join them.", 0.5714285714285714
" research clean fuels", "Turning off all electronics in the house after usage.", 1.0
" Participate in volunteer events to protect the environment", "We could all work together and get on the same page and do something to prevent global warming from worsening ", 2.2
"Use email and electronic communication instead of paper. ", " Inform your neighbors and community of ways they can save energy and protect the environment", 1.0
"Less use of cars and vehicles", "Create more efficient battery technology.", 1.0
" Water your lawn and garden early in the morning", "People can recycle as much as they can to preserve the environment.", 1.0
"create your own gardening and grow your own food to eat ", " One can purchase second hand items and clothing whenever possible to use less resources. ", 1.6
" We should take shorter showers to conserve water.", " Buy paper products are other products that are made from recycled materials", 0.5
"Don't follow the status quo.", "Unplug appliances that are rarely used. ", 1.2
" Don't buy bottled water", "We can create labels for electronic devices that show how the product is made. Therefor people could decide to purchase a product that is friendlier on the environment, forcing big companies to adjust. ", 0.8571428571428571
" water plants only at night", " Buy products that have less packaging", 0.5
"People can plant trees.", " Buy paper products are other products that are made from recycled materials", 1.0
" turn off all lights when not in use", "if possible, make showers/bath and washing machines drain to your yard", 0.8333333333333334
"People can challenge the food industry to reduce waste.", "Keep your own vehicles maintained to reduce pollution. ", 1.2
"keep the surrounding clean", " People should carpool or use public transport as much as possible to help reduce carbon footprint. ", 2.2857142857142856
"keep the surrounding clean", " Consume less overall and don't buy things you don't need", 0.8
"We could restructure how we work to encourage more bicycling to work. Perhaps a tax incentive or some kind of incentive to get people to bike more. ", "We should use less plastic because they just end op in the ocean and since they don't degrade for a very long time they can harm to the wild life and ocean ecosystem.", 1.6
" use light bulbs that are eco friendly", " Support the EPA's efforts to reduce pollutants that factories emit.", 1.1428571428571428
"Reduce the amount that you drive each month", "Help educate others on the dangers of harming the environment", 1.0
" turn off all lights when not in use", " Install a rain water collection system", 1.2
"Boycott items that are not recyclable. ", "People can lower their thermostats or set their air conditioner on a timer rather than using it continuously.", 0.4
" Use a reusable water bottle", "We could buy more locally produced goods to cut down on out of state transportation which creates less auto emission.", 1.2
"eat less meat and more vegetable", "Switching gasoline to run on electronic.", 1.8333333333333333
"Consider switching to solar power for household application.", "People can try to drive less and walk to more of their destinations.", 0.6666666666666666
"Turn off lights and power to electronics when not in use, it's not good enough to just leave things in sleep mode.", "We can solve problems in new ways that don't require products that we buy today. We can make roads easier to navigate so that we don't need GPS devices for example. ", 0.0
"Keep your own vehicles maintained to reduce pollution. ", "Get involved with some of the existing organizations that have cleanup activities and join them.", 1.4
"Avoid using chemicals and pesticides.", "Adopt children instead of having your own. Less people brought onto this planet mean less stress for the planet.", 0.0
"Be careful when lighting fires/putting out fires in nature.", "We can cut down on unnecessary driving, e.g. by walking instead.", 1.4
" Compost yard debris and food waste", " Participate in volunteer events to protect the environment", 1.0
"People can plant trees.", " Choose to work for a company that uses sustainable and green practices", 1.0
" turn off all lights when not in use", " Only run the dishwasher when you have a full load", 2.4
"Install solar panels on their roof.", "change every bulb in your home to LED", 1.0
" Buy paper products are other products that are made from recycled materials", "Carpool more places, offer ridesharing to friends/family/neighbors or strangers.", 1.5
" Compost yard debris and food waste", " Encourage friends and family to adopt environmentally friendly practices", 2.5714285714285716
"Use public transportation.", "Consider switching to solar power for household application.", 0.4
"Make a difference in your own community, organize town hall meetings and provide incentives for residents to dispose of any toxic chemicals instead of dumping them. ", "We can create labels for electronic devices that show how the product is made. Therefor people could decide to purchase a product that is friendlier on the environment, forcing big companies to adjust. ", 2.2857142857142856
" use a reusable water bottle", "Develop vehicles that have very long range on a single battery charge.", 1.5
"Use less water in household.", " recycle your plastics, glass, paper, etc.", 1.1428571428571428
"Use cloth napkins instead of paper ones", "We can start by recycling our water bottles.", 0.8
"Buy rechargeable batteries instead of disposable. ", "Learn to reuse our resources instead of throwing them away ", 2.7142857142857144
"People can abstain from buying products made with materials that are less biodegradable. ", "We can unite the world to establish a recycle system that works the same way everywhere. This would make recycling a lot more efficient.", 2.0
" dry clothes on a clothes line", " Plastic straws should be banned and be replaced with paper straws.", 0.6
"Buy local made/grown/manufactured goods, if more people shop local then less resources are used shipping stuff around.", "People should find away to make cars run on water instead of fossil fuels. This would change the game for cars and cut down on pollution.", 0.6
"Purchase and use reusable water bottles, chopsticks and flatware.", "People can switch off devices that they aren't using. We spend too much time on our computers now days and sometimes it's good to just turn them off so that we can enjoy life more stress free. This will save power and therefor the environment. ", 0.8333333333333334
"People can aim to inspire others to adopt a more eco-friendly lifestyle.", "Get involved with some of the existing organizations that have cleanup activities and join them.", 3.142857142857143
"Keep your own vehicles maintained to reduce pollution. ", "Consider switching to solar power for household application.", 1.2
"stop releasing harmful chemicals in oceans", "People can make their voices heard and have the government implement restrictions on large industries. Sometimes we don't know how a product that we buy is made. ", 0.8333333333333334
"We can use energy saving light bulbs to cut down on waste and emissions.", "We can try to reduce waste as much as possible, for example by using reusable bags for shopping instead of plastic bags", 1.8
"Using energy efficient CFL light bulbs instead of incandescent bulbs can help preserve the environment.", "People can purchase recyclable products, again to create less waste but to also use less resources to create more products like trees.", 1.3333333333333333
